"Sample # - No d'échantillon","Sampled From – Lieu d'échantillonnage","Declared Country of Origin ","Pays d'origine déclaré","Declared Floral Source","Source florale déclarée","Calculated C4 Sugar Addition – Addition de sucre C4 calculé","SIRA Assessment – Évaluation d'ARIS ","NMR Assessment – Évaluation de RMN","Sample Assessment – Évaluation d'échantillon"
"OTT-FD-2018-CH-0073","AB","Pakistan","Pakistan","undeclared","non déclaré","16.1","U-I","S","U-I"
"OTT-FD-2018-CH-0120","AB","Romania","Roumanie","forest honey","miel de forêt","0","S","S","S"
"OTT-FD-2018-CH-0140","AB","Canada","Canada","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0141","AB","Canada","Canada","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0234","ON","Saudi Arabia","Arabie Saoudite","undeclared","non déclaré","0.2","S","S","S"
"OTT-FD-2018-CH-0246","QC","Greece","Grece","flower and conifer","fleur et conifère","0","S","S","S"
"OTT-FD-2018-CH-0247","QC","India","Inde","undeclared","non déclaré","1.2","S","S","S"
"OTT-FD-2018-CH-0248","QC","India","Inde","undeclared","non déclaré","2","S","S","S"
"OTT-FD-2018-CH-0249","QC","India","Inde","undeclared","non déclaré","1.6","S","S","S"
"OTT-FD-2018-CH-0268","QC","Brazil","Bresil","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0269","QC","Brazil","Bresil","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0270","QC","Brazil","Bresil","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0272","ON","Viet Nam","Viet Nam","undeclared","non déclaré","9.4","U-I","U-I","U-I"
"OTT-FD-2018-CH-0275","ON","USA","États-Unis","wild berry","baie sauvage","3.2","S","S","S"
"OTT-FD-2018-CH-0276","ON","USA","États-Unis","wildflower","fleur sauvage","3.9","S","S","S"
"OTT-FD-2018-CH-0284","BC","New Zealand","Nouvelle-Zelande","Manuka","Manuka","2.4","S","S","S"
"OTT-FD-2018-CH-0285","BC","Zambia","Zambie","undeclared","non déclaré","4.2","S","S","S"
"OTT-FD-2018-CH-0290","QC","USA","États-Unis","wildflower","fleur sauvage","2.1","S","S","S"
"OTT-FD-2018-CH-0291","QC","USA","États-Unis","wildflower","fleur sauvage","0.7","S","S","S"
"OTT-FD-2018-CH-0292","QC","USA","États-Unis","wildflower","fleur sauvage","0.1","S","S","S"
"OTT-FD-2018-CH-0293","QC","USA","États-Unis","wildflower","fleur sauvage","0.3","S","S","S"
"OTT-FD-2018-CH-0294","QC","USA","États-Unis","wildflower","fleur sauvage","4.7","S","S","S"
"OTT-FD-2018-CH-0295","QC","USA","États-Unis","wildflower","fleur sauvage","2.6","S","S","S"
"OTT-FD-2018-CH-0299","QC","New Zealand","Nouvelle-Zelande","Manuka","Manuka","5.5","S","S","S"
"OTT-FD-2018-CH-0300","QC","New Zealand","Nouvelle-Zelande","Manuka","Manuka","6.3","S","S","S"
"OTT-FD-2018-CH-0301","BC","New Zealand","Nouvelle-Zelande","Manuka","Manuka","5.3","S","S","S"
"OTT-FD-2018-CH-0302","BC","Australia","Australie","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0303","BC","New Zealand","Nouvelle-Zelande","Manuka","Manuka","6.6","S","S","S"
"OTT-FD-2018-CH-0304","BC","Australia","Australie","undeclared","non déclaré","0","S","S","S"
